year,month,area_of_origin,estimated_dollar_loss,civilian_casualties,extent_of_fire,ignition_source,fire_alarm_system,smoke_alarm_at_fire_origin,sprinkler_system,status_of_fire_on_arrival,fire_alarm_system_impact_on_evacuation
2013,Winter,"21 - Living Area (e.g. living, TV, recreation, etc)",4000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2015,Winter,27 - Laundry Area,1000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,System Presents,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2016,Winter,"75 - Trash, rubbish area (outside)",500,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,NA
2013,Winter,24 - Cooking Area or Kitchen,100,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,1 - Fire extinguished prior to arrival,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2013,Winter,24 - Cooking Area or Kitchen,200,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2012,Autumn,64 - Porch or Balcony,2000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2016,Autumn,79 - Other Outside Area,1000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,System Presents,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2013,Spring,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,2 - Fire with no evidence from street,NA
2014,Spring,24 - Cooking Area or Kitchen,0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2016,Autumn,24 - Cooking Area or Kitchen,600,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,System Presents,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2016,Summer,64 - Porch or Balcony,20000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,No System,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2017,Spring,61 - Exterior Wall,5000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2015,Summer,"72 - Court, Patio, Terrace",60,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2013,Spring,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",200,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,System Presents,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2012,Autumn,64 - Porch or Balcony,500,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,No System,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",NA
2012,Autumn,28 - Office,5000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,Presents and Activated,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2012,Autumn,24 - Cooking Area or Kitchen,2000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,System Presents,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2017,Spring,27 - Laundry Area,200,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,System Presents,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2014,Autumn,"23 - Dining or Beverage Area (inc mess, canteen, lunchroom, cafeteria",500,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,System Presents,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",7 - Not applicable: Occupant(s) first alerted by other means
2014,Autumn,64 - Porch or Balcony,25,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,System Presents,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2017,Autumn,"25 - Washroom or Bathroom (toilet,restroom/locker room)",20,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2016,Summer,62 - Roof,1000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,System Presents,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2016,Spring,24 - Cooking Area or Kitchen,400,3,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,1 - Fire extinguished prior to arrival,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2015,Summer,"72 - Court, Patio, Terrace",500,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2017,Winter,"18 - Covered Court, Atrium, mall concourse",500,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)","8 - Not applicable: No fire alarm system, no persons present"
2013,Spring,"21 - Living Area (e.g. living, TV, recreation, etc)",6000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,Presents and Operated,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2017,Spring,97 - Other - unclassified,1000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,System Presents,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",NA
2017,Summer,42 - Garage,1500,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,No System,System Presents,2 - Fire with no evidence from street,NA
2013,Winter,78 - Attached Deck,1500,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,No System,2 - Fire with no evidence from street,NA
2012,Autumn,24 - Cooking Area or Kitchen,500,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2015,Summer,63 - Awning or Canopy,50,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,System Presents,"3 - Fire with smoke showing only - including vehicle, outdoor fires",NA
2017,Spring,42 - Garage,200,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,2 - Fire with no evidence from street,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2015,Summer,"73 - Parking Area, Parking Lot",20000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,"7 - Fully involved (total structure, vehicle, spreading outdoor fire)","8 - Not applicable: No fire alarm system, no persons present"
2013,Spring,"84 - Fuel Systems (eg. fuel tank, etc.)",25,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2013,Spring,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",500,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,2 - Fire with no evidence from street,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2013,Spring,"71 - Open Area (inc lawn, field, farmyard, park, playing field, pier,",10000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,"7 - Fully involved (total structure, vehicle, spreading outdoor fire)","8 - Not applicable: No fire alarm system, no persons present"
2015,Summer,62 - Roof,5000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,No System,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)","8 - Not applicable: No fire alarm system, no persons present"
2016,Spring,53 - Chimney/Flue Pipe,1000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,Presents and Operated,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)","8 - Not applicable: No fire alarm system, no persons present"
2014,Autumn,47 - Shipping/Receiving/Loading Platform,10000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,No System,System Presents,1 - Fire extinguished prior to arrival,NA
2014,Autumn,81 - Engine Area,500,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,System Presents,"7 - Fully involved (total structure, vehicle, spreading outdoor fire)",7 - Not applicable: Occupant(s) first alerted by other means
2014,Autumn,24 - Cooking Area or Kitchen,1000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2014,Autumn,97 - Other - unclassified,0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,System Presents,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2013,Winter,42 - Garage,10000,0,3 - Spread to entire room of origin,3 - Spread to entire room of origin,No System,No System,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",NA
2012,Autumn,64 - Porch or Balcony,0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,System Presents,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2013,Winter,24 - Cooking Area or Kitchen,1500,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,1 - Fire extinguished prior to arrival,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2017,Winter,53 - Chimney/Flue Pipe,0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2015,Winter,92 - Residential/Business: Restaurant area,2000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)","8 - Not applicable: No fire alarm system, no persons present"
2015,Winter,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",1,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,Presents and Activated,2 - Fire with no evidence from street,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2015,Winter,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",2000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)","8 - Not applicable: No fire alarm system, no persons present"
2015,Winter,24 - Cooking Area or Kitchen,6000,3,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,No System,No System,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2012,Autumn,24 - Cooking Area or Kitchen,100,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,No System,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2012,Autumn,24 - Cooking Area or Kitchen,1000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2012,Autumn,"21 - Living Area (e.g. living, TV, recreation, etc)",1000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,No System,No System,1 - Fire extinguished prior to arrival,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2012,Autumn,27 - Laundry Area,10,1,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,System Presents,1 - Fire extinguished prior to arrival,NA
2012,Autumn,24 - Cooking Area or Kitchen,1000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,Presents and Operated,No System,9 - Unclassified,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2015,Winter,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",300,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,No System,No System,9 - Unclassified,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2016,Spring,64 - Porch or Balcony,5000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",7 - Not applicable: Occupant(s) first alerted by other means
2014,Autumn,99 - Undetermined  (formerly 98),0,0,NA,NA,System Presents,No System,System Presents,9 - Unclassified,NA
2016,Winter,"75 - Trash, rubbish area (outside)",1000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,System Presents,"3 - Fire with smoke showing only - including vehicle, outdoor fires",4 - Fire Alarm system operated but failed to alert occupant(s)
2014,Spring,63 - Awning or Canopy,500,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,System Presents,"3 - Fire with smoke showing only - including vehicle, outdoor fires",NA
2013,Summer,"71 - Open Area (inc lawn, field, farmyard, park, playing field, pier,",0,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2015,Winter,97 - Other - unclassified,0,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2014,Summer,24 - Cooking Area or Kitchen,5,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2015,Autumn,24 - Cooking Area or Kitchen,1500,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,2 - Fire with no evidence from street,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2016,Spring,24 - Cooking Area or Kitchen,500,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,Presents and Operated,System Presents,2 - Fire with no evidence from street,NA
2015,Spring,24 - Cooking Area or Kitchen,600,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2014,Autumn,24 - Cooking Area or Kitchen,500,1,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,No System,System Presents,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2012,Autumn,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,System Presents,System Presents,2 - Fire with no evidence from street,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2012,Autumn,49 - Other Storage Area,500,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,System Presents,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2015,Summer,"21 - Living Area (e.g. living, TV, recreation, etc)",2,1,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,2 - Fire with no evidence from street,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2013,Winter,62 - Roof,0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,System Presents,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2012,Autumn,24 - Cooking Area or Kitchen,500,3,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,System Presents,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",7 - Not applicable: Occupant(s) first alerted by other means
2016,Winter,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2016,Autumn,24 - Cooking Area or Kitchen,1,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,System Presents,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2015,Summer,24 - Cooking Area or Kitchen,100,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2012,Autumn,42 - Garage,4000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,System Presents,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2012,Autumn,24 - Cooking Area or Kitchen,3000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2016,Summer,24 - Cooking Area or Kitchen,5000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,Presents and Operated,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2016,Autumn,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",100,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,2 - Fire with no evidence from street,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2017,Summer,97 - Other - unclassified,2000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,System Presents,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2015,Summer,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",4000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,No System,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2013,Spring,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",1000,0,"11 - Spread beyond building of origin, resulted in exposure fire(s)","11 - Spread beyond building of origin, resulted in exposure fire(s)",System Presents,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2016,Winter,27 - Laundry Area,8000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2016,Autumn,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2014,Autumn,79 - Other Outside Area,2000,0,9 - Confined to roof/exterior structure,9 - Confined to roof/exterior structure,System Presents,System Presents,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2014,Winter,53 - Chimney/Flue Pipe,0,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,System Presents,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2012,Autumn,53 - Chimney/Flue Pipe,0,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,System Presents,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2012,Autumn,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",5000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,No System,No System,1 - Fire extinguished prior to arrival,NA
2014,Autumn,64 - Porch or Balcony,200,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,Presents and Operated,No System,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2016,Summer,24 - Cooking Area or Kitchen,100,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2013,Summer,24 - Cooking Area or Kitchen,10,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,System Presents,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2017,Summer,83 - Electrical Systems,10000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,2 - Fire with no evidence from street,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2014,Autumn,64 - Porch or Balcony,1000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2013,Autumn,64 - Porch or Balcony,0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,System Presents,System Presents,2 - Fire with no evidence from street,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2016,Spring,24 - Cooking Area or Kitchen,2000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,No System,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2016,Winter,24 - Cooking Area or Kitchen,3000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2015,Summer,24 - Cooking Area or Kitchen,0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,2 - Fire with no evidence from street,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2015,Summer,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2015,Winter,53 - Chimney/Flue Pipe,0,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,Presents and Operated,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2015,Winter,24 - Cooking Area or Kitchen,1000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2016,Spring,24 - Cooking Area or Kitchen,4000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,Presents and Activated,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2012,Autumn,24 - Cooking Area or Kitchen,5000,2,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2012,Autumn,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",1000,1,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,2 - Fire with no evidence from street,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2014,Autumn,64 - Porch or Balcony,500,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2014,Autumn,"30 - Sales, Showroom Area",500,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,System Presents,1 - Fire extinguished prior to arrival,NA
2014,Autumn,24 - Cooking Area or Kitchen,500,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,Presents and Operated,No System,2 - Fire with no evidence from street,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2014,Autumn,64 - Porch or Balcony,1000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2015,Summer,"11 - Lobby, Entranceway",600,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,No System,System Presents,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)","8 - Not applicable: No fire alarm system, no persons present"
2014,Winter,24 - Cooking Area or Kitchen,15000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,System Presents,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2017,Summer,64 - Porch or Balcony,3000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,System Presents,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2014,Spring,"75 - Trash, rubbish area (outside)",1000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,No System,"7 - Fully involved (total structure, vehicle, spreading outdoor fire)",NA
2014,Spring,"73 - Parking Area, Parking Lot",300,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2013,Summer,64 - Porch or Balcony,500,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,No System,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2016,Summer,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",1000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2013,Summer,42 - Garage,200,1,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2014,Spring,"75 - Trash, rubbish area (outside)",100,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,System Presents,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",7 - Not applicable: Occupant(s) first alerted by other means
2015,Winter,81 - Engine Area,10000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2016,Autumn,97 - Other - unclassified,500,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,System Presents,2 - Fire with no evidence from street,NA
2014,Summer,24 - Cooking Area or Kitchen,500,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2017,Spring,64 - Porch or Balcony,500,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2014,Summer,"30 - Sales, Showroom Area",6000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,No System,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2016,Autumn,24 - Cooking Area or Kitchen,5000,1,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,No System,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2014,Summer,24 - Cooking Area or Kitchen,400,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,System Presents,No System,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
